segment_id,start_frame,end_frame,start_time_ms,end_time_ms,start_time_sec,end_time_sec,duration_sec,label,word_count,mean_word_prob,is_silence,transcript
0,0,46,0.00,1568.23,0.000,1.568,1.568,out,0,,1,[silence]
1,47,89,1568.23,3003.00,1.568,3.003,1.435,explain,0,,1,[silence]
2,90,139,3003.00,4671.34,3.003,4.671,1.668,out,0,,1,[silence]
3,140,479,4671.34,16016.02,4.671,16.016,11.345,explain,7,0.894,0,"So, today we begin our lecture 12,"
4,480,553,16016.02,18485.15,16.016,18.485,2.469,write,0,,1,[silence]
5,554,665,18485.15,22222.22,18.485,22.222,3.737,explain,0,,1,[silence]
6,666,731,22222.22,24424.42,22.222,24.424,2.202,out,0,,1,[silence]
7,732,1060,24424.42,35402.07,24.424,35.402,10.978,explain,11,0.882,0,"so we begin with lecture 12, let us recall the things"
8,1061,1453,35402.07,48515.18,35.402,48.515,13.113,write,14,0.964,0,"things that we did last time, we talked about the concept of vector space,"
9,1454,1556,48515.18,51951.95,48.515,51.952,3.437,explain,4,0.994,0,then we talked about
10,1557,2055,51951.95,68601.94,51.952,68.602,16.650,write,32,0.929,0,"about the concept of a subspace, so just as a reminder, vector space was basically a non -empty set which had two operations, one about addition, one about multiplication by a scalar"
11,2056,2329,68601.94,77744.41,68.602,77.744,9.142,explain,19,0.8,0,and we said it is closed in the addition and multiplication by scalar and it had total ten axioms
12,2330,2331,77744.41,77811.14,77.744,77.811,0.067,write,1,0.994,0,axioms
13,2332,2473,77811.14,82549.22,77.811,82.549,4.738,write,7,0.958,0,"axioms that we talked about, various laws"
14,2474,2779,82549.22,92759.43,82.549,92.759,10.210,explain,22,0.927,0,"laws like distributive law, commutative law, existence of zero, existence of inverses, so all those things we had talked about and subspace"
15,2780,3130,92759.43,104471.14,92.759,104.471,11.712,write,10,0.823,0,subspace was basically a subset of a vector space which
16,3131,3251,104471.14,108508.51,104.471,108.509,4.037,explain,0,,1,[silence]
17,3252,3677,108508.51,122722.72,108.509,122.723,14.214,write,8,0.966,0,"is a vector space in its own right,"
18,3678,3893,122722.72,129929.93,122.723,129.930,7.207,explain,12,0.912,0,"so this is like so -called, I would say crude way of"
19,3894,3927,129929.93,131064.40,129.930,131.064,1.134,out,3,0.994,0,"of putting things,"
20,3928,4019,131064.40,134134.13,131.064,134.134,3.070,explain,13,0.961,0,"since it is a reminder, so I just giving the essence of it,"
21,4020,4068,134134.13,135769.10,134.134,135.769,1.635,out,3,0.851,0,"it, subspace of"
22,4069,4306,135769.10,143710.38,135.769,143.710,7.941,explain,27,0.919,0,of a vector space is a non -empty subset of a vector space which is a vector space in its own right and we had seen how
23,4307,6357,143710.38,212145.48,143.710,212.145,68.435,write,89,0.903,0,"how to check something is a vector space, how to check something is a subspace, so let me recall for subspace, all we needed to ensure was that if I say a subset S of my vector space V is a subspace, then it should be non -empty and it should be closed under and the third thing we want is it should be closed under scalar, now these two things can be combined under one simple idea and we can say that S is closed under linear combination,"
24,6358,6502,212145.48,216983.65,212.145,216.984,4.838,explain,7,0.877,0,so we pick two vectors in here
25,6503,6545,216983.65,218418.42,216.984,218.418,1.435,out,3,0.945,0,and form every
26,6546,6846,218418.42,228461.80,218.418,228.462,10.043,explain,18,0.893,0,"every possible linear combination, all the combinations thus formed would be inside set S, so what this means,"
27,6847,7701,228461.80,256990.32,228.462,256.990,28.529,write,49,0.878,0,"so what I will do I will to give you the meaning of it, so if I pick two vectors, let us say U and V which belong to my set S and suppose C1 and C2 are linear numbers, in general you can call them as scalars depending"
28,7702,8814,256990.32,294127.46,256.990,294.127,37.137,explain,54,0.84,0,"depending on the field we are using, but since our attention goes to the numbers, so this is a subspace if we can guarantee that C1 U plus C2 V can always be inside S, so if it is closed under linear combinations, then we can say that our set S is a subspace"
29,8815,8905,294127.46,297163.83,294.127,297.164,3.036,out,4,0.915,0,"of our vector space,"
30,8906,9097,297163.83,303570.24,297.164,303.570,6.406,explain,24,0.916,0,"space, so this is what I just trying to recall in a nutshell of things that we saw, now what we will do is"
31,9098,9190,303570.24,306673.34,303.570,306.673,3.103,out,8,0.882,0,is I come up with some examples of
32,9191,9323,306673.34,311111.11,306.673,311.111,4.438,explain,11,0.904,0,"of how addition and multiplication can be defined on different sets,"
